,Support activities for mining,"Data processing, internet publishing, and other information services",Ambulatory health care services,Primary metals,Computer systems design and related services,Apparel and leather and allied products,Nonmetallic mineral products,Farms,"Federal Reserve banks, credit intermediation, and related activities",Nursing and residential care facilities,Pipeline transportation,"Performing arts, spectator sports, museums, and related activities",Food services and drinking places,"Forestry, fishing, and related activities",Plastics and rubber products,Motor vehicle and parts dealers,Water transportation,General merchandise stores,Textile mills and textile product mills,Food and beverage and tobacco products,Insurance carriers and related activities,Management of companies and enterprises,Fabricated metal products,Paper products,Motion picture and sound recording industries,"Securities, commodity contracts, and investments",Computer and electronic products,Petroleum and coal products,Air transportation,Truck transportation,Legal services,Construction,Other transportation and support activities,Administrative and support services,Hospitals,"Miscellaneous professional, scientific, and technical services","Motor vehicles, bodies and trailers, and parts",Transit and ground passenger transportation,"Electrical equipment, appliances, and components",Accommodation,Machinery,Furniture and related products,Wood products,Wholesale trade,Housing,"Other services, except government",Miscellaneous manufacturing,Utilities,Other retail,"Funds, trusts, and other financial vehicles","Amusements, gambling, and recreation industries",Oil and gas extraction,Printing and related support activities,"Publishing industries, except internet (includes software)",Rental and leasing services and lessors of intangible assets,Broadcasting and telecommunications,Chemical products,"Mining, except oil and gas",Other transportation equipment,Warehousing and storage,Other real estate,Food and beverage stores,Social assistance,Educational services,Waste management and remediation services,Rail transportation
"Funds, trusts, and other financial vehicles",1.7788232495834808e-08,7.2335397352901845e-09,-3.2440586792215204e-08,-3.2528252404487944e-08,4.566314387922597e-08,-2.7013984922696423e-08,6.944288920245129e-09,2.5762874243293993e-09,-1.93065113601514e-08,1.9314487175009623e-08,-3.625483114540822e-08,3.010032258306498e-08,-1.8124526164296016e-08,-2.2505661691480512e-08,-2.663467590985396e-08,3.557205735038947e-08,1.6200902247022018e-08,-1.5430455542766308e-08,-1.216074078581438e-08,1.4929101334051464e-08,0.006988669419697619,7.165593084190425e-05,-1.2520119045370237e-08,2.263085793192094e-08,-2.5975608403842298e-08,-3.36593867107405e-08,-1.9316590549613668e-08,4.057861817673936e-10,2.1886952981638017e-08,-2.7807423317802875e-08,4.3001081632468753e-08,-4.319621300172153e-09,-7.536916790779282e-09,1.5520836892323218e-08,5.454565570908799e-09,-1.9318168676451416e-08,-1.6522954568797702e-08,-3.785717242095878e-08,4.511561054625275e-08,-1.2258544382024013e-08,-1.1609594000658996e-08,1.347564327295416e-08,1.5994583613557677e-08,3.6109420888350014e-08,2.0876138179302398e-08,3.5675747516311133e-08,3.12475118086681e-08,-3.304483538099342e-08,-8.115083807673795e-09,0.07416372917792424,-1.2251076662709268e-08,-2.145550312015169e-08,-3.857128127685616e-08,-2.5083628793763186e-08,-4.3650262100451265e-09,1.3011631480488832e-08,1.0906478104089818e-08,-3.94633903374632e-08,3.5999204540947417e-08,4.0250268670912886e-08,-1.0202507161191907e-08,1.2639362405284992e-08,-2.8590775784136683e-08,-3.3893616596999974e-08,2.028738575665877e-08,3.390256639447873e-08
"Amusements, gambling, and recreation industries",6.163922438572137e-05,0.00016517202672566232,0.00015149084021682792,2.390512111083104e-05,0.00015377114438189463,2.3498815503820787e-06,4.52471550089811e-05,2.8568998119571364e-05,0.0001525159796883168,7.715288665917908e-05,4.21846626995669e-08,0.0007440501261259926,0.00026104896372947464,3.469829230520665e-06,4.024969173291428e-05,1.0818258631621147e-05,2.5775358528959885e-08,2.9501666433368967e-06,8.183390432221045e-06,1.8447749459417627e-05,2.150775821714268e-05,0.0006149291431470299,3.722696914707799e-05,2.2672631481597416e-05,4.9802857497839786e-05,0.00016308305642815524,2.689562402903617e-06,1.000646475938076e-05,5.038835534444047e-07,-1.9224521764617042e-09,0.0001840004508452177,2.4596973569807495e-05,1.1188058900155183e-05,0.00035690856970697123,8.01262293471509e-06,0.00012941239138420304,8.039787052111296e-06,-1.3052197195957608e-08,5.839493673915527e-06,0.0011639817859306267,2.3738430201028147e-05,4.3999993726539305e-05,3.4702706042221555e-05,8.000428740314736e-05,6.816581049132668e-06,4.139563531464013e-05,3.925819180936394e-05,3.092217877575205e-05,0.00021023325875371766,4.246456356010537e-05,3.5345382522811164e-05,-1.0692011732650987e-08,6.55192086567961e-05,5.067542911501312e-05,6.134808871295083e-05,6.298093677645294e-05,1.0713803333936353e-05,4.205232202845303e-06,1.2848500954388455e-05,5.058297529982882e-06,0.00016543339448876448,0.00010037197064639368,0.00010794054393758665,0.0001516070872660975,0.00012507493477614625,2.775113476826122e-06
Oil and gas extraction,0.0009552972719934069,7.103042421525977e-05,4.880479352246051e-05,0.0005563190840634761,6.782265183876562e-05,3.389750495229094e-05,0.00028547218007286986,0.0009524970572618967,0.0004346873866407649,0.00014854900891940617,0.0002466141516867746,4.383500537649547e-05,0.00018565369165525236,0.0005445074287553629,0.000270885656341856,0.000241698873965041,0.00196179591527829,3.5784391077860195e-05,0.00014249393309460778,0.00016591732528263014,1.3750910889044847e-06,0.00014589360766409165,0.00011670718194035034,0.00034285036227272366,3.1889062573323204e-05,0.00033430592868423505,1.367898919907982e-05,0.5354170244123483,0.002746217233770544,0.002244776680629491,6.565181104751082e-06,0.0013384757964588873,0.003524976863567932,0.00025823008366250577,0.00018450994835461532,5.732579218678549e-05,6.264627777968643e-05,0.0010491795374090902,0.00026667880886472635,0.00027696016100921917,0.0002354709808203562,0.00018264492395604848,0.00040439794636280363,0.0001364998804838551,2.1369289356632576e-06,0.00021365166425372543,0.00019597745456463434,0.058523654678573574,8.416649296010684e-05,0.00016971464178013517,0.00039642879976675667,0.1019740848809506,0.0007351368728144693,4.057816063279672e-05,0.00024388930750482774,5.269870564703625e-05,0.006597680982067421,0.001971016916999017,4.065183188089796e-05,6.353500527474666e-05,0.0002604831309198862,0.00014994564386696424,0.00013174572772236978,0.00011078513268687505,0.0007601842922968135,0.004079901121036296
Printing and related support activities,0.0004410443139787626,0.014171877022977043,0.0017707392434496425,0.0006842009295737117,0.0007361068058173617,0.003703354300962239,0.00029359262470089124,9.903425369048828e-05,0.001273097893766246,0.0010318117182380384,0.00027204499518036334,0.004290962222596803,0.0008262825856749309,0.00012775219202841828,0.0005748045799308201,0.001323057191638893,0.00021885100188339247,0.0009955921123961638,0.002236338381135805,0.00046626246628143583,0.001327900633653306,0.0020102784641646554,0.00028611264652481116,0.0015333819796398119,0.004690060818141732,0.002822049300952335,7.386469467231126e-05,7.630940356184368e-05,4.374854104340865e-05,0.0014586011602164858,0.0019146106500934922,0.0003144749252355764,0.0028938416721672037,0.0029066171762760678,0.003153613060617004,0.00378250744765716,0.0002605691789375709,0.0010182303523550123,0.00019766466818063228,0.0033260379549206478,0.00025838007769848486,0.0008806654415453451,0.0004318667165571857,0.004682810803285129,3.4402412913875837e-06,0.002888534403096945,0.0006626960764476376,0.00020501748050259604,0.005008824191159634,0.00010404074610774411,0.0016150655333367634,0.00014872815712678168,0.016768863984614968,0.012873379548342287,0.0007422733288329199,0.0011207973442606744,0.00123731456863059,0.00025884485448510045,0.00014179965779853435,0.0001887777548179626,0.0007140789689317183,0.0011570942466254735,0.005955705970773965,0.003082179658624277,0.00039061506921049934,0.00036959048566673967
"Publishing industries, except internet (includes software)",0.0009253779637741473,0.006731764921042878,0.002199478635605055,0.000556260392100599,0.002888020980519876,0.0004811594424496078,0.0005997023816032485,0.0001846460259337894,0.0021927631795026553,0.0012039892891958074,0.000534813177821428,0.0010155170636623578,0.0008516134315970332,0.0002395126172297057,0.000647742713605429,0.003206506048464216,0.00046103415082620686,0.001266678742501542,0.0005561087114036495,0.000339456414825156,0.0005573701692100919,0.005504223367937748,0.0008573797285824594,0.0005127408763042267,0.001399074277250401,0.002857055904461222,0.0001987968981856495,0.0001884626818955886,0.00015125380637187618,0.0005485412954024215,0.0043955916489364965,0.0008275531669525224,0.0017459374036604867,0.004018416212595261,0.002412101420709456,0.004234589923168885,0.0001547420865394499,0.00044299519109646033,0.0003031691610634283,0.0012811045003976072,0.0005508166391143695,0.0008962783427392417,0.0007219148420157206,0.002029950798602149,2.0484505047460385e-05,0.0021538338391338665,0.0008662451143639835,0.0007385203314029036,0.0020377388087910856,0.0006455111802573364,0.0013561126012280886,0.0006464363233269147,0.0010843599499345423,0.031113046255750062,0.0015734975853314425,0.0026423835244996988,0.0003870614959295552,0.000510977127939474,0.0004823869190866841,0.0010557755282277472,0.0017284373185957255,0.0014069353320925186,0.004494110030020283,0.003639426947863242,0.0009228589288482463,0.0013985860876052805
Rental and leasing services and lessors of intangible assets,0.020883426256201456,0.015507398055400025,0.0034329660488966835,0.0029494936464999656,0.002679450624534802,0.002752803388400564,0.004734589192137697,0.007758291292356205,0.007655638052505998,0.002453257763515513,0.0008615160401462872,0.008316643388569125,0.0066342480433915964,0.002962510047480136,0.002683829487192303,0.004975830844909047,0.009177294026528643,0.007033364634750698,0.0016538599819004144,0.0029828460917360284,0.003403554398334882,0.024966517387951626,0.004343837104912679,0.0034789570605371018,0.016279798875277533,0.008251507896144513,0.0008713980295667045,0.002157054356406007,0.033036511426935894,0.02213000219318901,0.007075782968565349,0.009862517340847688,0.005869795807839399,0.005917794109323285,0.005015242551426525,0.007340196904482014,0.0016719557312015105,0.020230463899377025,0.0028500499507896284,0.006542035028922918,0.0032001954920539664,0.002050048753087857,0.001730003122247335,0.012944999465369152,2.9567725231473864e-05,0.0022413655468052425,0.004905431416760677,0.0013766053558411859,0.007779494901705377,0.0001342212535899508,0.008828211553061991,0.012279299208204392,0.004329606081233061,0.0053010079810433455,0.012873655009501994,0.011817354719708956,0.0047190704682916074,0.012573832791595714,0.002444140033026996,0.007233664604190585,0.0019173399274222984,0.006063073595666,0.0020161400151906318,0.004627174840529883,0.01270740893815831,0.043887285634869495
Broadcasting and telecommunications,0.00776785545639102,0.02278466964118904,0.008102249137794504,0.002293782787437275,0.010158249113570394,0.0021796629626337585,0.003497209896850601,0.0015647585701096564,0.015530127163483018,0.006395720693092543,0.009650131521472856,0.004165019792804352,0.007835391202484835,0.0013108483075573946,0.0035698565595970455,0.014369857483751403,0.003653009713820618,0.00479006827649339,0.002629260307705889,0.0019281676248197235,0.005102600315396322,0.013580286867752004,0.003830214728244969,0.002468549761691855,0.006857246822209021,0.0140510900437628,0.0008314610632218617,0.0011927132982777438,0.0014247293001498796,0.013148953356060127,0.016191184248175648,0.005202883952435198,0.015397962884105294,0.016116403208099858,0.00713964090022118,0.012610400563897495,0.0008753887507673224,0.014399489725335682,0.0018203531619873008,0.011167826913230523,0.002638739864252636,0.003688299065101651,0.003285029460623885,0.012020069475494685,0.0011118518546576084,0.008429770481709462,0.004364350450410948,0.0037150180472226,0.012528330732106114,0.0053447460347565475,0.010307644092762556,0.004016027277979752,0.005290949109797826,0.0103726052995832,0.0053226585813870575,0.1287558946724736,0.0021825195394881767,0.0037663566192424475,0.001247953710793833,0.0049094125069263144,0.015625611562472528,0.005401779243655104,0.007122126852556587,0.009120121679398126,0.008182275755541651,0.0033327249798807365
Chemical products,0.012126742779852463,0.002378775337361625,0.027345980450954127,0.00722667096658358,0.00025931707758214216,0.0070084473659835465,0.03221548350466537,0.05412385025383469,0.00017937196745592367,0.010451955483270823,4.742707758017738e-05,0.0013191895702146029,0.0013353630107974534,0.03134422400166817,0.2379149514038247,0.0007716126657132635,0.0003778808564031123,0.00017784334469047634,0.17285647181960076,0.009787258410083991,8.115134927591753e-06,0.0030913135125163363,0.02033511148318729,0.06860823997563488,0.001130568239828026,0.00021082643062787332,0.004357122365286715,0.016885537465991432,0.0001867731017339337,0.0006147002423151295,0.0003212243572901643,0.006522903729936564,0.0006209998386211876,0.006126737296059973,0.02740878525607137,0.0054556421766557795,0.014551855402370832,0.0002138701581240714,0.01751765097103533,0.0007089623658158296,0.0111316882289623,0.02514398168128433,0.019305372707545454,0.0010781174641622546,9.742503373632588e-05,0.005079434698593097,0.03809785929308965,0.0035311952854583063,0.0011668957357821024,2.091107014474714e-05,0.004893143702187211,0.020027667772966974,0.06487055843659183,0.0011846900521717807,0.0009929594755637026,0.0010108334819587297,0.25409666112008344,0.02674363268551671,0.004872152316474168,0.0044380864356565,0.01190596742953101,0.000442721006754272,0.0034285436200576515,0.002222872362914079,0.007334538359736771,0.0037161871065776717
"Mining, except oil and gas",0.00048349964160700535,0.0010192631200078345,0.00010080138220616613,0.04384194960750082,1.3939711507619443e-06,2.280259350355708e-05,0.06498818240864028,0.0051743042746402075,2.370029003631512e-06,0.0001386904167238523,1.7194499536972846e-07,0.001746770081462815,0.00037220247156826753,0.00012986291333021052,0.001131379493902789,8.101353819481915e-06,7.732089462282797e-06,6.675117341935984e-07,0.0013236859867747927,0.0009906884739529027,4.054383028983736e-08,9.362159802067164e-05,0.0013343385211960865,0.005411834051716836,9.55634217099384e-05,2.102857992622256e-06,2.567401023913089e-05,0.0038802625448298954,9.98770692555908e-06,2.2493706336765928e-05,1.1345486148763357e-06,0.010216867556638387,2.1352881937484734e-05,0.0004259951577829447,0.00013831080566850638,0.0005422292766319299,0.0001438411696014208,1.7289793153398398e-05,0.0008375389058055173,0.0002859702069973041,0.00035911931938096333,0.0003516492546377904,0.00013178410729387997,1.2158919936335307e-05,1.4261710059340467e-05,0.0007111538614851915,0.0007421969612723393,0.015189557848639559,8.729401485702318e-06,6.002887837383385e-07,0.0028280724712588844,0.00022040705687024389,0.00022677838003299923,6.461352218566918e-05,6.9428887785098924e-06,0.00019824207209633767,0.005587830828147915,0.05189572635234319,0.0002168529633207785,2.650903078828949e-05,4.253027292882594e-05,2.9142226078607866e-06,0.00013816291171471023,0.0008347318439868464,0.00034378446314025664,0.0016691054514070814
Other transportation equipment,0.0002827359495566071,8.46212440240996e-05,4.093549976817302e-05,0.0007231826398205278,6.533363400371668e-05,9.787851103768228e-05,8.699761380665082e-05,4.82535381285592e-05,4.446744312337407e-06,1.861183425501729e-05,3.35217412314048e-05,-4.82365644016863e-06,8.364844414062741e-06,0.0009017215736582146,0.00013894756195559596,3.5588270052257885e-05,0.04255113387257873,2.0345144513414608e-05,0.00017905749373931247,5.211503258292319e-05,3.1370462435968486e-06,7.914347460147245e-05,0.0003812324479894213,0.0002213779525751684,4.5912445279063516e-05,9.848295660549508e-06,0.00038002452406050985,7.515700949481302e-06,0.002991094819954263,7.289515599263142e-06,1.6699356407054318e-05,0.0001826680337482275,0.0049029702044528925,0.00011064276591738967,9.87561738131246e-06,0.00023152422914293798,0.0009444782636342027,0.000334884450422336,0.0003793091977655997,1.7813453533796114e-05,0.0010100634383903568,0.0001578153203413595,0.0006759571671642217,4.2384081731887066e-05,7.281182952323788e-07,0.0011736578131487905,0.00018040253456714367,7.808135800846832e-05,1.9062325771039632e-05,1.8162002581313865e-05,4.038586394850064e-05,0.00011310526518921497,0.00018015823875869256,5.29788359293304e-05,2.677696136397114e-05,0.00015829931402186183,9.529846100031692e-05,0.0005936314980935197,0.22720938032059054,3.5367288217020124e-05,6.965946197819017e-06,1.634529269585032e-05,4.015126713092593e-05,0.00012099964854074673,0.0006593143230765782,0.02203345283842184
Warehousing and storage,-4.4576159793332735e-08,0.002049291052973273,0.0004568050640738709,0.0006344524387787419,0.0002098263687192297,0.015191567524529406,0.013923130373957772,0.0008140832764323136,-3.6210957250470033e-08,0.000584849992063444,0.00021642657394468546,0.0009846102526003674,0.0023294845769772673,2.7160484488845145e-08,0.022715093263501955,0.0360355760669146,0.01429848641313226,0.039160971296206736,0.02890907041908827,0.004053257366763249,3.879300053412001e-05,7.428461348434993e-06,0.004630121163199672,0.01895536409341417,0.0013675549158990365,3.956332176290667e-08,0.0064313006297427614,0.0052158413118261315,5.2974847637842896e-05,0.027598629688157687,0.0005901131751154455,3.357501646119782e-08,0.003556952228555258,0.0019541131237694304,0.0009094578223031824,0.0005546903118514395,0.0002714115049198171,0.0015345954434317082,0.0005709122960573141,0.000618872034404595,0.0016305734270814596,0.0016396361542790779,0.03259406003018536,0.011250411424152793,5.037075401988789e-07,0.0008783102768892612,0.0036128250082350967,0.0007751029816896437,0.023053510917199628,-2.7300270521840524e-08,0.0006135484955312845,2.1682012295692568e-05,0.01794771024561079,0.0018386154068098968,0.0009216004520896448,0.0007592631792704202,0.004651452682710059,0.003307711396957045,0.0004265603213583619,0.07505712800702857,4.183575322197113e-05,0.033557208276375726,0.0009541869073847037,0.00022775874007564727,0.0008481115225383231,1.8329180568039924e-05
Other real estate,0.0012424635980887511,0.02663214537851246,0.041266648610523315,0.0017193395494886751,0.00839397465709001,0.002590708941842035,0.004870831107672368,0.07360754472082755,0.043242971287838765,0.10714802945052726,0.001957636774940123,0.05513210146050493,0.08679586620824523,0.0019233603811735528,0.008329563336506479,0.061002769343608036,0.0072108048597269315,0.06257844072684557,0.009208953218070208,0.0036978908343947635,0.051898870031742005,0.055293902679363266,0.01121525578232959,0.00598245355308784,0.029501015137184238,0.047467571074251785,2.558006703808274e-05,0.0001195899343371243,0.000989720605275796,0.015085148947882978,0.06276874746752695,0.011831390449761937,0.009459775947555385,0.019096831291235218,0.04483475738868753,0.05122796672670433,0.000107053630135572,0.012725765073133251,0.0023946257298548337,0.01629420757277415,0.0025157088842515185,0.013220269920730936,0.0049377301241395975,0.04755655022071633,0.003371463628506975,0.054303801799346615,0.004038617760240819,0.006936198699926888,0.10840939409201822,0.0037873366426195744,0.08183854151812459,0.003630372925275753,0.01938751048948963,0.008989726587975666,0.025654679375023668,0.02013590459867104,0.0005206615525545541,0.0007639294680257859,0.0011252601489876153,0.13679820736419968,0.09188915513334127,0.09885324718181426,0.08626970676405814,0.09492187028654876,0.015722883579098405,0.0023928396253428182
Food and beverage stores,1.4563399763673275e-07,2.346749359227536e-05,6.228837232583018e-06,5.580502987488722e-07,2.181198127392654e-06,1.434916241612915e-07,1.860781243406872e-05,0.00022085496025773984,8.879025968935574e-06,2.727371983137397e-06,2.333268756707546e-06,2.2906994036262987e-06,0.0012857987169936744,2.727111822841e-06,8.409383722720128e-06,5.1926631654928006e-05,3.9582809913996804e-08,5.321909418358328e-06,1.5699138283625076e-08,8.539073257451425e-06,4.3246936813570965e-07,-1.3692020997722004e-08,3.3207025827759907e-06,7.298746307505047e-06,5.3916512693145115e-06,1.3956718773418866e-05,6.51487362152955e-07,3.198823273549287e-06,7.708548785778797e-08,0.0011786332377089368,2.4326916932043288e-06,0.0001108478991876037,0.000288306385249039,0.0001256347347460875,7.230644467563619e-06,8.601105678659731e-06,1.2596339832159433e-05,0.0005000959163244571,7.041126016228594e-06,0.00014110447218625006,8.14700886876398e-06,6.549086545043576e-05,6.787450885266277e-07,1.3505076325966015e-05,3.0324333370751868e-05,6.832718327800708e-05,4.048186189705348e-05,0.0002072842344589368,2.5208189839437962e-05,-2.465630514787897e-08,4.190925382211058e-06,1.5814070392155858e-06,0.0004253959155889747,1.1729364240281236e-06,9.918399526859693e-06,5.511842021115318e-07,4.7159705230016204e-05,1.8850804432464557e-06,3.9896337332023957e-07,3.0769379722599165e-07,5.454040004654523e-05,2.496390002204585e-05,1.1629706784745559e-05,4.6295912769734805e-05,3.155490889001031e-06,0.00013925259496193188
Social assistance,-1.3749795847104636e-08,-1.1500796439596024e-08,2.471732979271885e-08,-2.2210563691831682e-08,-4.198751028949147e-08,-2.527506883720609e-09,-7.566693612885435e-09,1.867742174577877e-08,-2.843614699902964e-09,-2.143643448440972e-08,4.805478423568215e-08,-2.690353667037624e-08,-2.0807820063364466e-08,-2.8675157933689087e-08,3.954229595654718e-08,2.9657583186145843e-08,2.231307031516097e-08,1.8683041808464724e-08,-1.2367075184993142e-08,1.8970332794523992e-08,3.0857706083136836e-08,-4.122233373011647e-09,-1.9915722784357772e-08,-1.6307562716006717e-08,-2.7086355997893035e-08,3.5593400291006165e-08,3.9535621234932316e-08,-4.2439319650753364e-08,-1.781223411797246e-08,-1.7400013993312577e-08,-1.7331181962416093e-08,-1.0732966490829108e-08,2.8268273112203903e-08,-1.6363459165759735e-08,2.735454866323166e-08,-3.0573587311015335e-08,4.218106472711415e-09,-9.200863074159149e-09,2.444832688776922e-08,-3.799102272318147e-08,2.13167419131688e-08,-2.5839052695597923e-08,3.154709957818623e-08,1.2182318555680214e-08,-3.807229051284573e-08,-5.211138394495095e-10,-2.9523334568665386e-08,3.6397986252787866e-08,4.2613109280524287e-08,-4.61371147788482e-08,2.790291863587904e-09,3.0379507659751934e-08,-1.5195560407064584e-08,-8.444676949601305e-09,3.103653943699731e-09,-3.596362059822711e-08,2.680619776303105e-08,1.4392450404080737e-08,1.6901058207111026e-08,2.2973721383918665e-09,-2.6595464366787547e-08,9.155899789382287e-09,-2.7071350272578346e-08,-2.1721373518290328e-08,-3.002184382462214e-08,2.776907676833285e-08
Educational services,-4.316967215423859e-08,0.0004286978517120542,4.717709600641363e-07,-6.614854821840886e-11,9.821372042514672e-05,-2.7843990041381194e-08,-2.7061613902965342e-08,2.7983779789257867e-05,2.912088987303747e-05,-3.236393799191312e-08,0.00011929461614227068,0.00750191912074834,1.7979059918614326e-08,5.9873430907676756e-05,7.495327708301829e-06,0.00016924430381089613,3.18466905514969e-08,-3.625593087024005e-08,-1.4657858737940767e-08,3.9674767639575167e-10,9.925302777714024e-09,-1.77550076430057e-08,-3.6504739538187696e-08,2.9086195035839902e-08,3.742106180115148e-09,2.052124717119772e-05,8.698820789156377e-09,4.0439201475298166e-05,0.0006416830025053894,2.9372263353497876e-08,4.1094806680107366e-08,3.5405761860329507e-06,0.00018403661985695268,0.0008873707478321875,2.120944189226991e-05,4.696113008092765e-05,6.887151980991155e-09,-7.838793195636422e-10,2.131621348538759e-08,3.1947023298757704e-08,2.8491868465907203e-08,1.8116312000612532e-08,-1.4584837926211607e-08,0.0009519999413653328,-1.3933788285857172e-08,0.003562938048489226,-8.556383829596051e-10,0.0002852672883411027,0.0041433073563241505,-2.374851830660956e-08,0.0011645782123655244,2.2017516261088718e-08,0.0005863850472856372,-5.761488042826023e-09,3.356985219644039e-08,8.543567191118355e-05,2.7641204516376184e-08,4.223617853947029e-08,3.733703937734522e-08,-2.4681588583318192e-08,-1.0350352483499163e-08,0.004108899325592644,1.954228060008931e-08,0.011214971428672229,3.8667441872054e-08,0.0003874412731900754
Waste management and remediation services,0.0022751694725122408,0.00017502769008313182,0.0020733188874430012,0.0061881566008560865,0.00023970562693816625,0.00037749427722088733,0.0016624405024129006,0.0004863793601919262,0.0007651301935461813,0.0034692004339620273,0.0003757362356472871,0.0004640375977199247,0.002527638730200073,0.0003198164339793524,0.0012087279401529342,0.003851057430073632,0.00080485447784667,0.0011374388741504631,0.001448861500592708,0.0013214842033087975,0.0010106006508667311,0.0009988750492058217,0.0010064956677716783,0.0024216360564928976,0.0002750423818036744,0.00016549071226585902,0.00012990783686476107,0.001131184433331878,-1.1158887014929568e-05,0.0026402609009714066,0.0003481437675820123,0.0015067482961446932,0.003259272970594287,0.0020143217630787962,0.0028424843370018988,0.0008720426505707356,0.0002576898589694178,0.0009507808724582887,0.0004547247442661005,0.0048558665966898906,0.0005247980762363578,0.0011402940355620208,0.000859624061747142,0.0012287426771502743,6.154091607450656e-06,0.003182754437000169,0.0007699508423862809,0.0015526344834076375,0.0017063600446333455,0.001960764310866388,0.0053111562182430105,0.0034136019511136154,0.0008959973448988623,0.00033843503108817174,0.0008248737128673327,0.0003171097068180602,0.002314396984912816,0.002289031135981115,0.0003735665512811188,0.005331903760872507,0.008817771659241854,0.0021094617488469167,0.0030608668983787717,0.002607710142598022,0.08380246385814473,0.00095130172099869
Rail transportation,0.0010991726753220576,0.0001414433203501101,0.0003836116967336792,0.014388239334745772,6.364237851088393e-05,0.0003640815226813898,0.02010103575200529,0.005439471510583313,0.00012440518647127208,0.0004272063906499872,6.804109904365577e-05,8.911061486994961e-05,0.0006945297385522153,0.0012545809190821888,0.007353174948911206,0.00014871855933794529,0.0002640865893983044,6.710938198596121e-05,0.0014260798558197207,0.006910118915467559,0.0001172509035068021,8.07824466591357e-05,0.0026743197214208103,0.01275963629814072,4.255216126115092e-05,9.5299013486832e-05,0.0001589970846519279,0.004055378957521768,0.00030526781347654233,0.011591483690709142,0.0001527093142802469,0.0014629052915147256,0.0015716974061880005,0.000508367477232463,0.0002311755736183205,0.00044175840620462863,0.0020554970976708366,0.00024022461804354097,0.001990127267054371,0.0004336350435635834,0.001340355788666474,0.00408617054527641,0.007212307850176716,0.00015590388041671218,1.7737472119623005e-05,0.0002294333429493242,0.0016408847474682034,0.007090491275742077,0.00012913886687422369,1.8947768644270496e-05,0.00048305477781232785,0.0014183616452960626,0.001892985872410403,0.0001304804221958664,0.00017634699140918331,0.000411146905551396,0.006618203671436451,0.008716975611257524,0.0011147618067757956,0.00016361067247474588,0.0002960711286111584,0.0002620240420520127,0.0005721765973342309,0.000174824839038145,0.0004169440621943549,0.0037541464035488743
