A01,"Crop and animal production, hunting and related service activities",10978.0
A02,Forestry and logging,552.0
A03,Fishing and aquaculture,534.0
B,Mining and quarrying,11511.0
C10T12,"Manufacture of food products, beverages and tobacco products",28881.0
C13T15,"Manufacture of textiles, wearing apparel and leather products",5558.0
C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3521.0
C17,Manufacture of paper and paper products,4423.0
C18,Printing and reproduction of recorded media,5151.0
C19,Manufacture of coke and refined petroleum products ,1973.0
C20,Manufacture of chemicals and chemical products,11406.0
C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,13360.0
C22,Manufacture of rubber and plastic products,8016.0
C23,Manufacture of other non-metallic mineral products,5653.0
C24,Manufacture of basic metals,4265.0
C25,"Manufacture of fabricated metal products, except machinery and equipment",15692.0
C26,"Manufacture of computer, electronic and optical products",12527.0
C27,Manufacture of electrical equipment,4697.0
C28,Manufacture of machinery and equipment n.e.c.,14085.0
C29,"Manufacture of motor vehicles, trailers and semi-trailers",16381.0
C30,Manufacture of other transport equipment,9938.0
C31_32,Manufacture of furniture; other manufacturing,8519.0
C33,Repair and installation of machinery and equipment,7502.0
D35,"Electricity, gas, steam and air conditioning supply",26372.0
E36,"Water collection, treatment and supply",7375.0
E37T39,"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",15742.0
F,Construction,108281.0
G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,29780.0
G46,"Wholesale trade, except of motor vehicles and motorcycles",62376.0
G47,"Retail trade, except of motor vehicles and motorcycles",93802.0
H49,Land transport and transport via pipelines,29040.0
H50,Water transport,6023.0
H51,Air transport,4903.0
H52,Warehousing and support activities for transportation,23415.0
H53,Postal and courier activities,10863.0
I,Accommodation and food service activities,50023.0
J58,Publishing activities,11216.0
J59_60,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",20532.0
J61,Telecommunications,32758.0
J62_63,"Computer programming, consultancy and related activities; information service activities",52721.0
K64,"Financial service activities, except insurance and pension funding",75110.0
K65,"Insurance, reinsurance and pension funding, except compulsory social security",29929.0
K66,Activities auxiliary to financial services and insurance activities,23366.0
L68B,Real estate activities excluding imputed rents,75076.0
L68A,Imputed rents of owner-occupied dwellings,174123.0
M69_70,Legal and accounting activities; activities of head offices; management consultancy activities,67760.0
M71,Architectural and engineering activities; technical testing and analysis,24259.0
M72,Scientific research and development,12570.0
M73,Advertising and market research,17753.0
M74_75,"Other professional, scientific and technical activities; veterinary activities",12518.0
N77,Rental and leasing activities,19680.0
N78,Employment activities,26141.0
N79,"Travel agency, tour operator reservation service and related activities",10117.0
N80T82,"Security and investigation activities; services to buildings and landscape activities; office administrative, office support and other business support activities",34090.0
O84,Public administration and defence; compulsory social security,86795.0
P85,Education,102378.0
Q86,Human health activities,91279.0
Q87_88,Social work activities,42342.0
R90T92,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",16133.0
R93,Sports activities and amusement and recreation activities,11946.0
S94,Activities of membership organisations,7450.0
S95,Repair of computers and personal and household goods,2921.0
S96,Other personal service activities,19092.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,4961.0
